Winkel;Tool;J1;J2;J3;J4;J5;J6
0;T1;-73.0984;43.192;-0.0478926;11.8638;90.5787;12.2476
1;T1;-72.8505;43.257;-0.174915;11.3437;90.7499;11.7222
2;T1;-72.6018;43.3168;-0.292416;10.8232;90.9121;11.1945
3;T1;-72.3523;43.3714;-0.400303;10.3022;91.0651;10.6646
4;T1;-72.1021;43.4207;-0.498499;9.78079;91.2089;10.1326
5;T1;-71.8513;43.4647;-0.586945;9.25892;91.3435;9.59857
6;T1;-71.5999;43.5034;-0.665568;8.73661;91.4687;9.06267
7;T1;-71.3479;43.5368;-0.734313;8.21385;91.5846;8.52502
8;T1;-71.0954;43.5648;-0.793132;7.69066;91.691;7.98575
9;T1;-70.8425;43.5874;-0.841965;7.16703;91.788;7.44497
10;T1;-70.5892;43.6045;-0.880794;6.64299;91.8754;6.90282
11;T1;-70.3356;43.6163;-0.909559;6.11852;91.9533;6.35942
12;T1;-70.0817;43.6226;-0.928248;5.59366;92.0215;5.81491
13;T1;-69.8275;43.6235;-0.93683;5.0684;92.0802;5.26941
14;T1;-69.5732;43.6189;-0.935292;4.54276;92.1291;4.72306
15;T1;-69.3189;43.6088;-0.923618;4.01676;92.1684;4.176
16;T1;-69.0644;43.5933;-0.901813;3.49041;92.198;3.62835
17;T1;-68.8099;43.5723;-0.86987;2.96372;92.2179;3.08026
18;T1;-68.5555;43.5459;-0.827813;2.43671;92.2281;2.53186
19;T1;-68.3012;43.514;-0.775634;1.9094;92.2286;1.98329
20;T1;-68.0471;43.4767;-0.713367;1.38179;92.2194;1.43468
21;T1;-67.7932;43.434;-0.641037;0.853918;92.2005;0.886172
22;T1;-67.5396;43.3858;-0.558681;0.325779;92.1719;0.337897
23;T1;-67.2863;43.3323;-0.466328;-0.202596;92.1336;-0.21
24;T1;-67.0334;43.2734;-0.364042;-0.731203;92.0858;-0.757393
25;T1;-66.781;43.2092;-0.251854;-1.26003;92.0283;-1.30415
26;T1;-66.529;43.1396;-0.129829;-1.78905;91.9613;-1.85013
27;T1;-66.2777;43.0648;0.00197231;-2.31827;91.8848;-2.39521
28;T1;-66.0269;42.9847;0.143475;-2.84767;91.7988;-2.93925
29;T1;-65.7768;42.8994;0.29461;-3.37725;91.7033;-3.48213
30;T1;-65.5275;42.8089;0.455305;-3.90699;91.5985;-4.02373
31;T1;-65.2789;42.7133;0.625465;-4.43688;91.4844;-4.56391
32;T1;-65.0312;42.6126;0.805007;-4.96693;91.361;-5.10256
33;T1;-64.7844;42.5068;0.993842;-5.49714;91.2285;-5.63955
34;T1;-64.5385;42.396;1.19185;-6.0275;91.0868;-6.17478
35;T1;-64.2937;42.2802;1.39896;-6.55802;90.9361;-6.70812
36;T1;-64.0499;42.1595;1.61504;-7.0887;90.7765;-7.23947
37;T1;-63.8073;42.034;1.83999;-7.61954;90.608;-7.76871
38;T1;-63.5659;41.9036;2.0737;-8.15055;90.4306;-8.29574
39;T1;-63.3257;41.7685;2.31603;-8.68176;90.2446;-8.82045
40;T1;-63.0868;41.6287;2.56688;-9.21316;90.05;-9.34274
41;T1;-62.8493;41.4842;2.82612;-9.74478;89.8468;-9.86253
42;T1;-62.6132;41.3352;3.09362;-10.2766;89.6352;-10.3797
43;T1;-62.3786;41.1816;3.36924;-10.8088;89.4153;-10.8942
44;T1;-62.1455;41.0236;3.65285;-11.3412;89.1872;-11.4059
45;T1;-61.9141;40.8612;3.94433;-11.8739;88.951;-11.9147
46;T1;-61.6842;40.6944;4.24352;-12.4069;88.7067;-12.4206
47;T1;-61.4562;40.5234;4.55028;-12.9404;88.4545;-12.9234
48;T1;-61.2299;40.3482;4.86448;-13.4742;88.1946;-13.4232
49;T1;-61.0054;40.1688;5.18597;-14.0085;87.9269;-13.9197
50;T1;-60.7828;39.9854;5.5146;-14.5433;87.6517;-14.413
51;T1;-60.5622;39.7979;5.85022;-15.0786;87.3689;-14.903
52;T1;-60.3436;39.6065;6.19268;-15.6145;87.0789;-15.3897
53;T1;-60.127;39.4113;6.54184;-16.151;86.7816;-15.8729
54;T1;-59.9127;39.2123;6.89754;-16.6882;86.4771;-16.3526
55;T1;-59.7005;39.0095;7.25962;-17.2262;86.1657;-16.8288
56;T1;-59.4906;38.8031;7.62795;-17.765;85.8473;-17.3014
57;T1;-59.283;38.5931;8.00234;-18.3046;85.5222;-17.7704
58;T1;-59.0778;38.3795;8.38268;-18.8452;85.1904;-18.2357
59;T1;-58.875;38.1626;8.76877;-19.3868;84.852;-18.6972
